gtdb_genome_representative	aquatic_habitat	host_associated	soil_habitat
GB_GCA_011522945.1	1	1	0
GB_GCA_018666135.1	1	0	0
GB_GCA_902622515.1	1	0	0
GB_GCA_902520885.1	1	0	0
GB_GCA_009649675.1			
GB_GCA_012103325.1	1	1	0
GB_GCA_009377445.1			
GB_GCA_002724395.1	1	0	0
GB_GCA_002711555.1	1	0	0
RS_GCF_004005845.1	0	1	0
GB_GCA_016743915.1	1	1	0
RS_GCF_003385955.1			
RS_GCF_009711445.1			
RS_GCF_017963645.1			
GB_GCA_002709955.1	1	0	0
GB_GCA_002696645.1	1	0	0
GB_GCA_012926505.1			
GB_GCA_017643735.1	1	0	0
GB_GCA_016792765.1	0	0	1
GB_GCA_900197615.1	1	1	0
GB_GCA_002238725.1	0	1	0
GB_GCA_009838215.1	0	1	0
GB_GCA_009836525.1	0	1	0
GB_GCA_008081395.1	1	0	0
GB_GCA_002724635.1	1	0	0
GB_GCA_018702955.1	1	0	0
GB_GCA_018667335.1	1	0	0
GB_GCA_018666195.1	1	0	0
GB_GCA_017643325.1	1	0	0
GB_GCA_011087645.1	1	1	0
GB_GCA_013003285.1			
GB_GCA_002713365.1	1	0	0
GB_GCA_002937505.1	1	0	0
RS_GCF_014191775.1			
GB_GCA_014324045.1	0	1	0
RS_GCF_011683915.1	1	0	0
GB_GCA_001657395.1			
RS_GCF_014925385.1			
GB_GCA_009377535.1			
RS_GCF_007004665.1			
RS_GCF_000374005.1	0	1	0
RS_GCF_002118285.1	0	1	0
RS_GCF_001026905.1	1	1	0
RS_GCF_900313065.1			
RS_GCF_000982415.1	0	1	0
RS_GCF_000420625.1			
RS_GCF_000686045.1			
RS_GCF_900177295.1			
GB_GCA_006969625.1	0	1	0
RS_GCF_003572205.1			
RS_GCF_000515255.1			
RS_GCF_900100655.1			
GB_GCA_007127165.1	1	0	1
RS_GCF_003344765.1	0	0	1
GB_GCA_905480575.1	1	0	0
GB_GCA_002708995.1	1	0	0
GB_GCA_016778845.1	1	0	0
GB_GCA_002687095.1	1	0	0
GB_GCA_905479265.1	1	0	0
GB_GCA_905480585.1	1	0	0
RS_GCF_014641495.1			
RS_GCF_004564135.1			
RS_GCF_900093605.1			
GB_GCA_013373265.1			
GB_GCA_013373205.1			
RS_GCF_000688235.1			
RS_GCF_002115755.1	1	0	0
RS_GCF_002115825.1	1	0	0
RS_GCF_002844295.1	1	0	0
RS_GCF_001907695.1			
RS_GCF_003326755.1	1	0	0
RS_GCF_002115745.1	1	0	0
RS_GCF_001613855.1	1	0	1
RS_GCF_011806425.1			
RS_GCF_000421265.1	1	0	0
RS_GCF_011806525.1			
RS_GCF_000763295.1	1	0	0
RS_GCF_001613795.1	1	0	0
RS_GCF_000948415.1			
RS_GCF_000300275.1	1	0	1
RS_GCF_003326695.1	1	0	0
